driver_id,month_a,month_b,county,trips_a,trips_b,trip_count_ratio,rcci_v1,rcci_balanced_weighted,rcci_edge_heavy_weighted,rcci_balanced_jaccard,rcci_geometric_weighted,confidence_label,confidence_reason,interpretation_label
ca351c04cfabaae40cb77059ef799f4a,2021-09,2021-10,Broward County,34,125,3.676470588235294,83.47086213363623,83.47086213363623,83.71108469196298,80.79281497582907,83.48177580305001,MEDIUM,trip_count_ratio_gt_2,VERY HIGH RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2021-09,2021-10,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2021-09,2021-10,Palm Beach County,0,3,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2021-10,2021-11,Broward County,125,70,1.7857142857142858,77.45762265863107,77.45762265863107,77.91882403169646,74.39207900263416,77.4871290305983,HIGH,high_coverage_balanced,HIGH RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2021-10,2021-11,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2021-10,2021-11,Palm Beach County,3,0,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2021-11,2021-12,Broward County,70,135,1.9285714285714286,79.4407977916477,79.4407977916477,79.86497784304186,76.5335570902239,79.46816518260208,HIGH,high_coverage_balanced,HIGH RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2021-11,2021-12,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2021-11,2021-12,Palm Beach County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2021-12,2022-01,Broward County,135,106,1.2735849056603774,67.61537626523241,67.61537626523241,68.24723347573011,74.17800649550249,67.65392477668874,HIGH,high_coverage_balanced,MODERATE RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2021-12,2022-01,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2021-12,2022-01,Palm Beach County,0,2,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-01,2022-02,Broward County,106,84,1.2619047619047619,65.17737380784475,65.17737380784475,65.85390882828789,70.02085050434349,65.21847225599787,HIGH,high_coverage_balanced,MODERATE RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-01,2022-02,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-01,2022-02,Palm Beach County,2,2,1.0,97.18524069828955,97.18524069828955,97.36774819255862,97.18524069828955,97.22246714377432,LOW,low_trip_count_under_10,LOW CONFIDENCE - interpret with trip-count context
ca351c04cfabaae40cb77059ef799f4a,2022-02,2022-03,Broward County,84,97,1.1547619047619047,73.37918532736192,73.37918532736192,73.86878103768699,78.36368640113514,73.40733890548674,HIGH,high_coverage_balanced,HIGH RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-02,2022-03,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-02,2022-03,Palm Beach County,2,0,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-03,2022-04,Broward County,97,57,1.7017543859649122,69.18481005488758,69.18481005488758,69.77190414020961,61.56548476474847,69.21978419996083,HIGH,high_coverage_balanced,MODERATE RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-03,2022-04,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-03,2022-04,Palm Beach County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-04,2022-05,Broward County,57,122,2.1403508771929824,76.71498436328434,76.71498436328434,77.02054942494865,82.2438725100523,76.72751859687271,MEDIUM,trip_count_ratio_gt_2,HIGH RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-04,2022-05,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-04,2022-05,Palm Beach County,0,1,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-05,2022-06,Broward County,122,120,1.0166666666666666,54.51949061903352,54.51949061903352,55.445562259927186,56.52386139826538,54.578455780579645,HIGH,high_coverage_balanced,LOW RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-05,2022-06,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-05,2022-06,Palm Beach County,1,1,1.0,100.0,100.0,100.0,100.0,100.0,LOW,low_trip_count_under_10,LOW CONFIDENCE - interpret with trip-count context
ca351c04cfabaae40cb77059ef799f4a,2022-06,2022-07,Broward County,120,142,1.1833333333333333,55.922504299096545,55.922504299096545,56.79532281262829,56.849931836078206,55.97654828073577,HIGH,high_coverage_balanced,LOW RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-06,2022-07,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-06,2022-07,Palm Beach County,1,0,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-07,2022-08,Broward County,142,5,28.4,95.10470094199897,95.10470094199897,95.16713350401582,89.04145800024882,95.10718981951415,LOW,low_trip_count_under_10,LOW CONFIDENCE - interpret with trip-count context
ca351c04cfabaae40cb77059ef799f4a,2022-07,2022-08,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-07,2022-08,Palm Beach County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-08,2022-09,Broward County,5,64,12.8,92.43580810676929,92.43580810676929,92.55506699581164,86.81141237621735,92.44168621772889,LOW,low_trip_count_under_10,LOW CONFIDENCE - interpret with trip-count context
ca351c04cfabaae40cb77059ef799f4a,2022-08,2022-09,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-08,2022-09,Palm Beach County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-09,2022-10,Broward County,64,161,2.515625,75.32393404234558,75.32393404234558,75.68774189351805,72.14666881802071,75.34070144564289,MEDIUM,trip_count_ratio_gt_2,HIGH RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-09,2022-10,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-09,2022-10,Palm Beach County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-10,2022-11,Broward County,161,104,1.5480769230769231,56.30477121010997,56.30477121010997,56.91953039103552,65.65649459382689,56.33180833049063,HIGH,high_coverage_balanced,LOW RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-10,2022-11,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-10,2022-11,Palm Beach County,0,1,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-11,2022-12,Broward County,104,137,1.3173076923076923,58.80628742925161,58.80628742925161,59.48626899014459,69.4605112422264,58.84137864199387,HIGH,high_coverage_balanced,LOW RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-11,2022-12,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-11,2022-12,Palm Beach County,1,2,2.0,100.0,100.0,100.0,100.0,100.0,LOW,low_trip_count_under_10,LOW CONFIDENCE - interpret with trip-count context
ca351c04cfabaae40cb77059ef799f4a,2022-12,2023-01,Broward County,137,131,1.0458015267175573,59.98472083391033,59.98472083391033,60.674725871809784,62.95748048218115,60.02191977735739,HIGH,high_coverage_balanced,LOW RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2022-12,2023-01,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2022-12,2023-01,Palm Beach County,2,2,1.0,100.0,100.0,100.0,100.0,100.0,LOW,low_trip_count_under_10,LOW CONFIDENCE - interpret with trip-count context
ca351c04cfabaae40cb77059ef799f4a,2023-01,2023-02,Broward County,131,115,1.1391304347826088,59.260676650174474,59.260676650174474,60.062572640059564,62.27792172202595,59.31003213769481,HIGH,high_coverage_balanced,LOW RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2023-01,2023-02,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2023-01,2023-02,Palm Beach County,2,1,2.0,100.0,100.0,100.0,100.0,100.0,LOW,low_trip_count_under_10,LOW CONFIDENCE - interpret with trip-count context
ca351c04cfabaae40cb77059ef799f4a,2023-02,2023-03,Broward County,115,61,1.8852459016393444,72.11471557686538,72.11471557686538,72.59437234116558,71.97261967730032,72.14051066446127,HIGH,high_coverage_balanced,HIGH RELATIVE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2023-02,2023-03,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2023-02,2023-03,Palm Beach County,1,0,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2023-03,2023-04,Broward County,61,0,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
ca351c04cfabaae40cb77059ef799f4a,2023-03,2023-04,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2023-03,2023-04,Palm Beach County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2023-04,2023-05,Broward County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2023-04,2023-05,Miami-Dade County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2023-04,2023-05,Palm Beach County,0,0,,,,,,,LOW,both_months_no_trips,NO COMPARISON
ca351c04cfabaae40cb77059ef799f4a,2023-05,2023-06,Broward County,0,110,,100.0,100.0,100.0,100.0,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE
