driver_id,month_a,month_b,county,trips_a,trips_b,trip_count_ratio,nodes_a,nodes_b,edges_a,edges_b,weighted_node_overlap_min,weighted_edge_overlap_min,node_jaccard_similarity,edge_jaccard_similarity,node_change_component,edge_change_component,node_weight,edge_weight,rcci_v1,confidence_label,confidence_reason,interpretation_label,added_nodes,removed_nodes,added_edges,removed_edges,shared_nodes,shared_edges,data_quality_flag
ca351c04cfabaae40cb77059ef799f4a,2021-09,2021-10,Broward County,34,125,3.676470588235294,808,2955,871,3237,0.1712969426218065,0.15928581470546885,0.20300511508951408,0.18113858539390454,0.8287030573781935,0.8407141852945311,0.5,0.5,83.47086213363623,MEDIUM,trip_count_ratio_gt_2,VERY HIGH RELATIVE CHANGE,2320,173,2607,241,635,630,ok
ca351c04cfabaae40cb77059ef799f4a,2021-09,2021-10,Miami-Dade County,0,0,,0,0,0,0,,,,,,,0.5,0.5,,LOW,both_months_no_trips,NO COMPARISON,0,0,0,0,0,0,both_months_no_trips
ca351c04cfabaae40cb77059ef799f4a,2021-09,2021-10,Palm Beach County,0,3,,0,145,0,142,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE,145,0,142,0,0,0,month_a_no_trips
ca351c04cfabaae40cb77059ef799f4a,2021-10,2021-11,Broward County,125,70,1.7857142857142858,2955,1863,3237,1974,0.2369538077403246,0.21389373908705414,0.27291941875825626,0.23923900118906063,0.7630461922596754,0.7861062609129459,0.5,0.5,77.45762265863107,HIGH,high_coverage_balanced,HIGH RELATIVE CHANGE,830,1922,968,2231,1033,1006,ok
ca351c04cfabaae40cb77059ef799f4a,2021-10,2021-11,Miami-Dade County,0,0,,0,0,0,0,,,,,,,0.5,0.5,,LOW,both_months_no_trips,NO COMPARISON,0,0,0,0,0,0,both_months_no_trips
ca351c04cfabaae40cb77059ef799f4a,2021-10,2021-11,Palm Beach County,3,0,,145,0,142,0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE,0,145,0,142,0,0,month_b_no_trips
ca351c04cfabaae40cb77059ef799f4a,2021-11,2021-12,Broward County,70,135,1.9285714285714286,1863,4094,1974,4459,0.21619652336837722,0.19498752079866888,0.2491088278465087,0.22022003034901366,0.7838034766316228,0.8050124792013311,0.5,0.5,79.4407977916477,HIGH,high_coverage_balanced,HIGH RELATIVE CHANGE,2906,675,3298,813,1188,1161,ok
ca351c04cfabaae40cb77059ef799f4a,2021-11,2021-12,Miami-Dade County,0,0,,0,0,0,0,,,,,,,0.5,0.5,,LOW,both_months_no_trips,NO COMPARISON,0,0,0,0,0,0,both_months_no_trips
ca351c04cfabaae40cb77059ef799f4a,2021-11,2021-12,Palm Beach County,0,0,,0,0,0,0,,,,,,,0.5,0.5,,LOW,both_months_no_trips,NO COMPARISON,0,0,0,0,0,0,both_months_no_trips
ca351c04cfabaae40cb77059ef799f4a,2021-12,2022-01,Broward County,135,106,1.2735849056603774,4094,2450,4459,2718,0.3396426676101185,0.3080498070852333,0.27043292564550575,0.24600694444444443,0.6603573323898815,0.6919501929147667,0.5,0.5,67.61537626523241,HIGH,high_coverage_balanced,MODERATE RELATIVE CHANGE,1057,2701,1301,3042,1393,1417,ok
ca351c04cfabaae40cb77059ef799f4a,2021-12,2022-01,Miami-Dade County,0,0,,0,0,0,0,,,,,,,0.5,0.5,,LOW,both_months_no_trips,NO COMPARISON,0,0,0,0,0,0,both_months_no_trips
ca351c04cfabaae40cb77059ef799f4a,2021-12,2022-01,Palm Beach County,0,2,,0,121,0,119,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,100.0,LOW,zero_trip_month,ZERO-BASELINE CHANGE,121,0,119,0,0,0,month_a_no_trips
ca351c04cfabaae40cb77059ef799f4a,2022-01,2022-02,Broward County,106,84,1.2619047619047619,2450,2361,2718,2521,0.36513963743263106,0.331312886410474,0.315199562602515,0.28438342731061533,0.634860362567369,0.668687113589526,0.5,0.5,65.17737380784475,HIGH,high_coverage_balanced,MODERATE RELATIVE CHANGE,1208,1297,1361,1558,1153,1160,ok
ca351c04cfabaae40cb77059ef799f4a,2022-01,2022-02,Miami-Dade County,0,0,,0,0,0,0,,,,,,,0.5,0.5,,LOW,both_months_no_trips,NO COMPARISON,0,0,0,0,0,0,both_months_no_trips
ca351c04cfabaae40cb77059ef799f4a,2022-01,2022-02,Palm Beach County,2,2,1.0,121,100,119,98,0.03271028037383177,0.02358490566037736,0.03271028037383177,0.02358490566037736,0.9672897196261683,0.9764150943396226,0.5,0.5,97.18524069828955,LOW,low_trip_count_under_10,LOW CONFIDENCE - interpret with trip-count context,93,114,93,114,7,5,low_trip_count_month
ca351c04cfabaae40cb77059ef799f4a,2022-02,2022-03,Broward County,84,97,1.1547619047619047,2361,2204,2521,2398,0.2784480394845078,0.25396825396825395,0.22353256499597962,0.2091937069813176,0.7215519605154922,0.746031746031746,0.5,0.5,73.37918532736192,HIGH,high_coverage_balanced,HIGH RELATIVE CHANGE,1370,1527,1547,1670,834,851,ok
