scope,period,period_start,period_end,eligible_trip_count,total_route_distance_m,controlled_access_share,arterial_share,local_access_share,major_corridor_roads,motorway_share,trunk_share,primary_share,secondary_share,tertiary_share,residential_share,service_share,unclassified_share,other_share,origin_cluster_id,origin_label,destination_cluster_id,destination_label,pair_total_eligible_trips,pair_observed_months
all_eligible_direct_trips,early,2021-09,2022-07,790,4653751.999957763,0.11065168421736397,0.6912985056181329,0.19059650308378723,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'primary', 'road_name': 'West Atlantic Boulevard'}, {'road_class': 'secondary', 'road_name': 'Dr. Martin Luther King Boulevard'}]",0.08850576467946107,0.022145919537902903,0.27442633583493387,0.35876916242169365,0.05810300736150537,0.14136130068761696,0.04923520239617027,0.0074533070807156964,0.0,,,,,,
all_eligible_direct_trips,middle,2022-08,2023-08,869,4763288.550596155,0.11796972827106685,0.66360837554136,0.2114269245176722,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'primary', 'road_name': 'West Atlantic Boulevard'}, {'road_class': 'secondary', 'road_name': 'West Copans Road'}]",0.09855146801852696,0.019418260252539902,0.295092812500595,0.32110738061034816,0.04740818243041689,0.15937016523487038,0.052056759282801804,0.006994971669900741,0.0,,,,,,
all_eligible_direct_trips,late,2023-09,2024-06,670,3977763.335566262,0.18025923499680016,0.6228401022520994,0.191229290391228,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'primary', 'road_name': 'West Atlantic Boulevard'}, {'road_class': 'secondary', 'road_name': 'Coconut Creek Parkway'}, {'road_class': 'trunk', 'road_name': '86060000.0'}]",0.12070703810787262,0.059552196888927544,0.31424989249126056,0.2767891200450382,0.03180108971580063,0.14687775127966393,0.044351539111564066,0.00567137235987234,0.0,,,,,,
major_direct_od_pair,early,2021-09,2022-07,33,49103.949153844645,0.0,0.0,1.0,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}]",0.0,0.0,0.0,0.0,0.0,0.9163059395376608,0.08369406046233925,0.0,0.0,C003,Wynmoor community destination near Cafe on the Green,C001,"Wynmoor area, Coconut Creek",131.0,31.0
major_direct_od_pair,middle,2022-08,2023-08,49,74934.60925388777,0.0,0.0,1.0,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}]",0.0,0.0,0.0,0.0,0.0,0.9238808538824131,0.07611914611758698,0.0,0.0,C003,Wynmoor community destination near Cafe on the Green,C001,"Wynmoor area, Coconut Creek",131.0,31.0
major_direct_od_pair,late,2023-09,2024-06,49,73606.81993693394,0.0,0.0,1.0,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'residential', 'road_name': 'Victoria Way'}]",0.0,0.0,0.0,0.0,0.0,0.9266238675387242,0.07337613246127579,0.0,0.0,C003,Wynmoor community destination near Cafe on the Green,C001,"Wynmoor area, Coconut Creek",131.0,31.0
major_direct_od_pair,early,2021-09,2022-07,26,39284.85524524062,0.0,0.0,1.0,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'residential', 'road_name': 'Antigua Circle'}]",0.0,0.0,0.0,0.0,0.0,0.8831322771241921,0.11686772287580789,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C003,Wynmoor community destination near Cafe on the Green,129.0,31.0
major_direct_od_pair,middle,2022-08,2023-08,50,77436.39387437183,0.0,0.0,1.0,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'residential', 'road_name': 'Antigua Circle'}]",0.0,0.0,0.0,0.0,0.0,0.9157703909117657,0.08422960908823425,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C003,Wynmoor community destination near Cafe on the Green,129.0,31.0
major_direct_od_pair,late,2023-09,2024-06,53,83906.94028998118,0.0,0.0,1.0,"[{'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'residential', 'road_name': 'Antigua Circle'}]",0.0,0.0,0.0,0.0,0.0,0.9106865395026704,0.08931346049732962,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C003,Wynmoor community destination near Cafe on the Green,129.0,31.0
major_direct_od_pair,early,2021-09,2022-07,39,60298.32839425426,0.0,0.35610158220800275,0.6438984177919972,"[{'road_class': 'primary', 'road_name': 'Lyons Road'}, {'road_class': 'residential', 'road_name': 'Wynmoor Circle'}, {'road_class': 'residential', 'road_name': 'Portofino Isle'}, {'road_class': 'residential', 'road_name': 'Westgate Drive'}, {'road_class': 'residential', 'road_name': 'Antigua Circle'}]",0.0,0.0,0.35610158220800275,0.0,0.0,0.4175439733000632,0.22635444449193398,0.0,0.0,C001,"Wynmoor area, Coconut Creek",C002,Coconut Creek Plaza short-stop area,124.0,30.0
